Hyllypaikka,Tekijä,Nimeke,ISBN/ISSN,Julkaisuvuosi,Lainojen lkm.
84.2,"Orkoma, Marja, kirjoittaja.",Villiminttu & Vetoketju,978-951-883-695-0,2015,1162
3,Guinness world records 2014.,Guinness world records 2014,978-951-32-3784-4,2013,1160
84.2 H,"Nopola, Sinikka.",RR kuin Risto Räppääjä,978-951-31-5718-0,2010,1152
84.2 D,"Jokinen, Seppo.",Räätälöity ratkaisu,978-951-23-5305-7,2010,1146
84.2,"Kinney, Jeff.","Neropatin päiväkirja. [7], Kolmas pyörä /",978-951-0-40697-7,2014,1135
84.2,"Kinney, Jeff.","Neropatin päiväkirja. 5, Karu totuus : Greg Heffleyn julkaisu /",978-951-0-39649-0,2012,1134
84.2,"Rowling, J. K.",Harry Potter ja salaisuuksien kammio,978-951-31-1472-5,1999,1128
84.2,"Jungstedt, Mari.",Neljäs uhri,978-951-1-26963-2,2014,1120
85.22,"Kunnas, Mauri.",Herra Hakkaraisen seitsemän ihmettä,978-951-1-22929-2,2008,1117
84.2,"Steel, Danielle, kirjoittaja.",Perhesiteitä,978-951-0-40281-8,2014,1108
99.1,"Haapasalo, Ville, kirjoittaja.","Et muuten tätäkään usko..."" : Ville Haapasalon 2000-luku Venäjällä""",978-952-291-071-4,2014,1089
84.2,"Pakkanen, Outi, kirjoittaja.",Helle,978-951-1-29068-1,2015,1083
84.2,"Kinney, Jeff.",Neropatin päiväkirja : Greg Heffleyn julkaisu,978-951-0-35482-7,2009,1080
84.2,"Jokinen, Seppo.",Ajomies,978-952-5918-25-0,2011,1080
84.2,"Ropponen, Markku, kirjoittaja.",Laskevan auringon talo,978-952-289-141-9,2014,1078
84.2,"Tervo, Jari, kirjoittaja.",Pyrstötähti,978-951-0-40987-9,2015,1076
85.22,"Wieslander, Jujja.",Lehmä liukumäessä,951-882-365-0,2003,1074
85.22,"Nordqvist, Sven.",Viiru muuttaa,978-951-31-6844-5,2012,1073
84.2,"Kettu, Katja.",Kätilö : romaani,978-951-0-38200-4,2011,1071
84.2,"Kesävuori, Saara, kirjoittaja.",Musta hevonen,978-951-31-8281-6,2015,1069
84.2,"Roberts, Nora, kirjoittaja.",Varjojen saalistaja,978-951-20-9628-2,2015,1065
85.22,"Wieslander, Jujja.",Lehmä saa laastarin,978-951-882-596-1,2006,1065
84.2,"Tervo, Jari.",Revontultentie,978-951-0-40763-9,2014,1062
84.2 H,"Widmark, Martin, kirjoittaja.",Uimahallin arvoitus,978-951-31-7876-5,2014,1062
84.2,"Kinney, Jeff.","Neropatin päiväkirja : [sarjakuvaromaani]. 6, Lunta tupaan /",978-951-0-39931-6,2013,1057
84.2 D,"Lehtolainen, Leena.",Rautakolmio,978-951-31-7423-1,2013,1054
84.2,"Kinney, Jeff.","Neropatin päiväkirja. 4, Kovan onnen kesä : Greg Heffleyn julkaisu /",978-951-0-38693-4,2012,1051
84.2,"Roberts, Nora, kirjoittaja.",Etsijät,978-951-20-9571-1,2014,1050
84.2,"Hallberg, Lin, kirjoittaja.","Maalla on mukavaa, Sinttu",978-951-31-8198-7,2014,1049
84.2,"Lindgren, Minna.",Kuolema Ehtoolehdossa,978-951-851-505-3,2013,1048
85.22,"Kunnas, Mauri.",Koirien Kalevala,951-1-12244-4,1992,1037
85.22,"Kunnas, Mauri.",Robin Hood,978-951-1-23672-6,2009,1030
84.2,"Varis, Tuula-Liina, kirjoittaja.",Naisen paras ystävä,978-951-0-40764-6,2014,1027
84.2,"Mäki, Reijo.",Cowboy,978-951-1-28217-4,2014,1024
84.2 H,"Parvela, Timo.",Ella ja kaverit karkaavat koulusta,978-951-31-7994-6,2014,1023
85.22,"Kunnas, Mauri.",Hui kauhistus!,978-951-1-08578-2,1985,1021
84.2,"Nykänen, Harri.",Mullasta maan,978-952-289-213-3,2014,1019
84.2,"Hämeen-Anttila, Virpi.",Yön sydän on jäätä : kolme viikkoa Karl Axel Björkin elämässä maaliskuussa 1921,978-951-1-28214-3,2014,1019
84.2,"Kettu, Katja, kirjoittaja.",Yöperhonen : romaani,978-951-0-41279-4,2015,1018
84.2 H,"Parvela, Timo.",Ella ja kaverit menevät metsään,978-951-31-5997-9,2013,1017
84.2,"Statovci, Pajtim.",Kissani Jugoslavia,978-951-1-26978-6,2014,1015
84.2,"Sund, Erik Axl, kirjoittaja.",Lasiruumiit,978-951-1-28729-2,2015,1015
84.2,"Kinney, Jeff.","Neropatin päiväkirja. 3, Viimeinen oljenkorsi : Greg Heffleyn julkaisu /",978-951-0-37085-8,2011,1014
84.2,"Rowling, J. K.",Harry Potter ja Azkabanin vanki,951-31-1737-5,2000,1006
84.2,"Roberts, Nora.",Ovi sydämeen,978-951-20-8811-9,2014,1005
84.2,"Vaahtera, Veera, kirjoittaja.",Sattumalta sinun,978-951-31-8222-9,2015,1002
85.22,"Kunnas, Mauri.",Koiramäen lapset ja näkki,978-951-1-21898-2,2007,999
85.22,"Wieslander, Jujja.",Lehmä kelkkamäessä,978-951-873-463-8,1994,998
84.2,"Pakkanen, Outi.",Rakastaja,978-951-1-27363-9,2013,997
84.2,"Mäki, Reijo, kirjoittaja.",Siivellä eläjä : kohtaamisia enkeleiden kanssa,978-951-1-28622-6,2015,997
84.2,"Kinney, Jeff.","Neropatin päiväkirja. 2, Isoveli isottelee :Greg Heffleyn julkaisu",978-951-0-36036-1,2010,993
85.22,"Kunnas, Mauri.",Kaikkien aikojen avaruuskirja,978-951-1-21600-1,2007,982
84.2,"Orkoma, Marja.",Pepperoni & pikilanka,978-951-883-584-7,2014,981
84.2,"Moyes, Jojo, kirjoittaja.",Kerro minulle jotain hyvää,978-951-20-9836-1,2015,978
3,Guinness world records 2013.,Guinness world records 2013,978-951-32-3486-7,2012,978
84.2,"Parvela, Timo.",Paten aikakirjat,978-951-31-7800-0,2014,978
84.2,"Pilkey, Dav.","Kapteeni Kalsarin ja Sähköräkäjätkän iso paha taistelu. 2. osa, Roimien Roboräkien kosto /",951-31-3148-3,2004,975
84.2,"Parvela, Timo.",Ella ja kadonnut karttakeppi,978-951-31-5996-2,2012,974
84.2,"Sten, Viveca, kirjoittaja.",Sotilaiden salaisuudet,978-951-0-40877-3,2015,974
84.2,"Mustonen, Enni.",Kultarikko,978-951-1-26353-1,2012,969
84.2,"Camilleri, Andrea, kirjoittaja.",Paperikuu,978-951-0-40275-7,2015,966
84.2,"Pilkey, Dav.",Kapteeni Kalsari ja professori Poksupöksyn piinalliset puuhat,951-31-2841-5,2003,965
85.22,"Havukainen, Aino.",Veera lääkärissä,951-1-16018-4,1999,965
85.22,"Kunnas, Mauri.",Suuri urheilukirja,951-1-07518-7,1988,960
85.22,"Nopola, Sinikka.","Heinähattu, Vilttitossu ja Kalju-Koponen",978-951-31-5943-6,2012,957
85.22,"Wieslander, Jujja.",Lehmä siivoaa kotinsa,978-951-873-703-5,1997,951
84.2,"Cleeves, Ann, kirjoittaja.",Satamakatu,978-951-23-5884-7,2015,949
85.22,"Wieslander, Jujja.",Lehmä rakentaa majan,951-873-558-1,1995,947
84.2,"Pättikangas, Eira.",Kuinka monta iltaa,978-951-23-5764-2,2014,944
84.2,"Pilkey, Dav.",Kapteeni Kalsari ja violetin vessan väen vinha vahinko,978-951-31-3831-8,2007,943
85.22,"Havukainen, Aino.",Veera ja menopelit,951-1-16562-3,2000,942
84.2,"Hotakainen, Kari, kirjoittaja.",Henkireikä,978-952-234-316-1,2015,942
84.2,"Oksanen, Sofi, kirjoittaja.",Norma,978-952-01-1294-3,2015,936
84.2,"Brown, Sandra, kirjoittaja.",Matalapainetta,978-951-31-8349-3,2015,933
84.2,"Ahnhem, Stefan, kirjoittaja.",Pimeään jäänyt,978-951-0-40464-5,2015,932
85.22,"Kunnas, Mauri.","Apua, merirosvoja!",978-951-1-13330-8,1994,929
85.22,"Wieslander, Jujja.","Lehmä, joka tahtoi keinua",951-873-426-7,1993,926
85.22,"Wieslander, Jujja.",Mimmi Lehmä lukee,978-951-883-257-0,2011,926
84.2,"Pättikangas, Eira, kirjoittaja.",Tehtaan portilta kotikujalle,978-951-23-5982-0,2015,925
84.2,"Rönkä, Matti, kirjoittaja.",Eino,978-951-24-0071-3,2015,924
84.2 H ,"Parvela, Timo.",Ella ja jättipotti,978-951-31-4943-7,2009,922
84.2 JÄN,"Adler-Olsen, Jussi, kirjoittaja.",Tapaus 64,978-951-20-9575-9,2015,921
85.22,"Kunnas, Mauri.",Hurjan hauska autokirja,978-951-1-12758-1,1993,920
84.2,"Keyes, Marian, kirjoittaja.",Nainen joka varasti elämäni,978-951-31-8208-3,2015,920
15,"Kunnas, Mauri.",Kummallisuuksien käsikirja,978-951-1-25207-8,2011,918
84.2,"Kivelä, Anneli.",Outo lintu Katajamäellä,978-951-23-5699-7,2013,917
84.2 H ,"Parvela, Timo.",Ella ja Yön ritarit,978-951-31-5588-9,2010,916
85.22,"Nordqvist, Sven.",Viiru kateissa,978-951-31-2126-6,2001,914
84.2,"Kelly, Cathy, kirjoittaja.",Kaikki alkoi Pariisissa,978-951-20-9891-0,2015,905
84.2,"Doerr, Anthony, kirjoittaja.",Kaikki se valo jota emme näe,978-951-0-40974-9,2015,902
84.2,"Pilkey, Dav, kirjoittaja.",Kapteeni Kalsari ja radioaktiivisten robobokserien karmaiseva kosto,978-951-31-8313-4,2015,902
84.2,"Kyrö, Tuomas.",Mielensäpahoittaja,978-951-0-36626-4,2010,901
84.2,"Nieminen, Veera.",Avioliittosimulaattori,978-951-31-7420-0,2013,901
84.2,"Hämeen-Anttila, Virpi, kirjoittaja.",Käärmeitten kesä : Karl Axel Björkin uusia tutkimuksia,978-951-1-28245-7,2015,900
84.2,"Hallberg, Lin, kirjoittaja.",Eppu menee kouluun,978-951-31-8237-3,2015,899
84.2 D,"Lagercrantz, David, kirjoittaja.",Se mikä ei tapa,978-951-0-40696-0,2015,899
84.2 H,"Hallberg, Lin.","Tallilla tapahtuu, Sinttu",978-951-31-7024-0,2013,895
84.2 H ,"Hallberg, Lin.","Hieno hyppy, Sinttu",978-951-31-4921-5,2009,895
85.22,"Nordqvist, Sven.",Viirun ja Pesosen kylvöpuuhat,951-30-9514-2,1990,894
84.2,"Lehtinen, Tuija.",Morsiuskamari,978-951-1-27361-5,2013,892
84.2,"Honkasalo, Laura, kirjoittaja.",Perillä kello kuusi,978-951-1-27375-2,2015,883
84.2,"Soininvaara, Taavi.",Teräsarkku,978-951-1-27646-3,2014,882
84.2,"Itkonen, Juha, kirjoittaja.",Ajo,978-951-1-28215-0,2014,882
84.2,"Sund, Erik Axl, kirjoittaja.",Varjojen huone,978-951-1-28218-1,2014,875
84.2,"Numminen, Juha, kirjoittaja.",Ystävä sä lapsien : rikosromaani,978-952-289-233-1,2015,875
85.22,"Nordqvist, Sven.",Viiru ja Pesonen kettujahdissa,978-951-31-0394-1,1994,871
85.22,"Nopola, Tiina, kirjoittaja.",Siiri ja kadonnut tähti,978-951-31-7998-4,2014,870
85.22,"Nopola, Tiina.",Siiri ja villi taapero,978-951-31-7340-1,2013,870
84.2 H ,"Hallberg, Lin.","Torstaina nähdään, Sinttu",978-951-31-3969-8,2009,870
84.2,"Pilkey, Dav.",Kapteeni Kalsari ja puhuvat pöntöt,978-951-31-2381-9,2002,870
84.2,"Cussler, Clive, kirjoittaja.",Rajumyrsky,978-951-0-40891-9,2014,866
84.2 D,"Jokinen, Seppo.",Lyöty mies,978-951-23-5130-5,2009,865
84.2,"Parvela, Timo.",Ella ja Äf Yksi,978-951-31-4315-2,2008,861
84.2,"Pilkey, Dav.",Kapteeni Kalsari ja Hurjan Hierrenaisen hirmutuuli,951-31-2933-0,2004,861
85.22,"Kunnas, Mauri.",Viikingit tulevat!,951-1-21211-7,2006,860
84.2 H,"Widmark, Martin.",Syntymäpäivän arvoitus,978-951-31-7277-0,2013,858
84.2,"Slaughter, Karin, kirjoittaja.",Näkymätön,978-951-31-8348-6,2015,856
84.2,"Kyrö, Tuomas.",Mielensäpahoittaja ja ruskeakastike,978-951-0-39079-5,2012,856
85.22,"Nordqvist, Sven.",Viiru puijaa Pesosta,978-951-31-0340-8,1994,855
84.2,"Gavalda, Anna, kirjoittaja.",Parempaa elämää,978-951-20-9855-2,2015,852
84.2,"Pilkey, Dav.",Kapteeni Kalsari seikkailee,978-951-31-2380-2,2002,851
84.2,"James, Peter, kirjoittaja.",Kuolema leikkii tulella,978-952-312-098-3,2015,850
85.12,"Nopola, Sinikka.","Heinähattu, Vilttitossu ja ärhäkkä koululainen",978-951-31-7359-3,2013,846
84.2,"Roberts, Nora, kirjoittaja.",Varjojen ratsu,978-951-20-9627-5,2014,845
61.741,,Kuulokkeet,,,841
84.2,"Galbraith, Robert.",Silkkiäistoukka,978-951-1-28012-5,2014,841
84.2,"Kallentoft, Mons, kirjoittaja.",Vesienkelit,978-951-0-40681-6,2015,839
84.2,"Kanto, Anneli, kirjoittaja.",Pyöveli,978-951-20-9881-1,2015,839
84.2 D,"Rönnbacka, Christian, kirjoittaja.",Rakennus 31,978-952-279-185-6,2014,839
84.2,"Jokinen, Seppo, kirjoittaja.",Viha on paha vieras,978-951-23-4885-5,2007,839
84.2,"Lundberg, Ulla-Lena.",Jää,978-951-851-475-9,2012,838
84.2,"Hirvonen, Elina, kirjoittaja.",Kun aika loppuu : romaani,978-951-0-40984-8,2015,837
84.2,"Parvela, Timo.",Ella : varokaa lapsia!,951-31-3685-X,2006,836
84.2,"Läckberg, Camilla.",Enkelintekijä,978-951-20-9030-3,2013,836
84.2,"Edwardson, Åke.",Menneisyyden viesti,978-952-01-1085-7,2014,835
84.2,"Christie, Agatha, kirjoittaja.",Hercule Poirot ja huvimajan arvoitus,978-951-0-41117-9,2015,834
84.2,"Flynn, Gillian, kirjoittaja.",Teräviä esineitä,978-951-0-40895-7,2015,832
84.2,"Ahern, Cecelia, kirjoittaja.",Kuinka rakastutaan,978-951-20-9747-0,2015,828
84.2,"Parvela, Timo.",Ella ja seitsemän törppöä,978-951-31-3895-0,2007,828
84.2,"Kallioniemi, Tuula.",Kaahailua ja kepposia,978-951-1-25347-1,2011,827
84.2,"Holt, Anne.",Kuollut kulma,978-951-20-9271-0,2013,826
84.2,"Cornwell, Patricia, kirjoittaja.",Tomuksi ja tuhkaksi,978-951-1-28357-7,2014,824
84.2,"Hallberg, Lin.","Kesä kutsuu, Sinttu!",978-951-31-7564-1,2014,821
84.2,"Rowling, J. K.",Harry Potter ja liekehtivä pikari,951-31-2038-4,2001,820
84.2,"Havaste, Paula.",Tuulen vihat,978-951-20-9718-0,2014,819
84.2,"Kinsella, Sophie.",Hääyöaie,978-951-0-40268-9,2014,819
84.2,"Skiftesvik, Joni.",Valkoinen Toyota vei vaimoni : elämänkuvia,978-951-0-40735-6,2014,818
84.2,"Hallberg, Lin.","Yli esteiden, Sinttu!",978-951-31-6322-8,2012,818
84.2,"Parvela, Timo.",Ella ja Sampan urotyöt,978-951-31-5929-0,2011,817
85.22,"Kunnas, Mauri.","Hyvää yötä, herra Hakkarainen",951-1-16152-0,1999,816
65.8,"Lipkowitz, Daniel.",LEGO leikkikirja : ideoita rakentamiseen ja leikkimiseen,978-951-0-40107-1,2013,816
84.2 D,"Sipilä, Jarkko.",Valepoliisi,978-952-289-048-1,2013,812
84.2,"Nesser, Håkan, kirjoittaja.",Pikku-Burman teurastajatar : rikosromaani,978-951-31-7798-0,2015,810
84.2,"Kepler, Lars.",Nukkumatti : rikosromaani,978-951-31-7270-1,2013,810
84.2,"Coelho, Paulo.",Uskottomuus,978-952-279-184-9,2014,810
84.2,"Hawkins, Paula, kirjoittaja.",Nainen junassa,978-951-1-29163-3,2015,809
84.2,"Ellilä, Kirsti, kirjoittaja.",Tuntemattomat,978-951-23-5920-2,2015,807
85.22,"Kunnas, Mauri.",Hurja-Harri ja pullon henki,978-951-1-24540-7,2010,807
77.49,"Dowsett, Elizabeth.",Jedien salaisuudet,978-951-0-38201-1,2011,806
85.22,"Kunnas, Mauri.",Seitsemän koiraveljestä : koiramainen versio Aleksis Kiven romaanista Seitsemän veljestä,951-1-18100-9,2002,805
84.2 HELP,"Hallberg, Lin.",Sinttu on paras!,978-951-31-5842-2,2011,802
84.2 D,"Tuominen, Pirjo.",Muistatko Marjatan? : jännitysromaani,978-951-31-7364-7,2013,800
84.2,"Jokinen, Seppo.",Hiirileikki,978-951-23-4774-2,2006,800
84.2,"King, Stephen, kirjoittaja.",Herääminen,978-951-31-8186-4,2015,797
84.2,"Moriarty, Liane.",Hyvä aviomies,978-951-0-40599-4,2014,797
65.8,"Lipkowitz, Daniel.",LEGO ideakirja : rakenna mitä vain,978-951-0-38845-7,2012,795
84.2,"Hotakainen, Kari, kirjoittaja.",Kantaja,978-952-67705-3-6,2014,795
84.2 D,"Nesbø, Jo.",Poliisi,978-951-0-39943-9,2013,794
99.13,"Tyrkkö, Maarit.",Tyttö ja nauhuri,978-951-0-40253-5,2014,793
84.2,"Hallberg, Lin.",Maailman ihanin Sinttu,978-951-31-3968-1,2008,789
84.2,"Adler, Elizabeth.",Talo maalla,978-951-20-9458-5,2014,787
84.2,"Mustonen, Enni.",Jääleinikki,978-951-1-25423-2,2011,787
84.2,"Child, Lee.",Paluu päämajaan,978-951-23-5789-5,2014,787
85.22 KU,"Kunnas, Mauri.",Vampyyrivaarin tarinoita,951-1-11854-4,1991,786
84.2,"Utrio, Kaari.",Seuraneiti,978-952-5330-58-8,2013,786
84.2 D,"Arhippa, Pirkko.",Tii taa Taneli : jännitysromaani,978-951-883-529-8,2013,785
84.2,"Lapidus, Jens.",Vip-huone,978-952-01-1088-8,2014,782
84.2,"Leon, Donna.",Pedon palkka,978-951-1-27869-6,2014,782
84.2,"Widmark, Martin.",Eläinpuodin arvoitus,978-951-31-6780-6,2012,782
84.2 D,"Grisham, John, kirjoittaja.",Perintö,978-951-0-40552-9,2014,782
84.2 HELP,"Hallberg, Lin.","Suuri seikkailu, Sinttu",978-951-31-5843-9,2011,781
85.22,"Nordqvist, Sven.",Viirun syntymäpäivät,951-31-0393-5,1994,781
84.2,"Rowling, J. K.",Harry Potter ja puoliverinen prinssi,978-951-31-3507-2,2006,780
